location_id,city_id,name,city_zone,zone_id,location_type
LH-LOC-0120,LH,Grant Rd & Kingsley Rd,Financial Row,LH-ZONE-005,bus_stop
LH-LOC-0135,LH,Concourse Ave & Prospect St,East Commons,LH-ZONE-010,bus_stop
LH-LOC-0311,LH,Beacon St & Turnpike Ave,Cathedral Heights,LH-ZONE-006,bus_stop
LH-LOC-0078,LH,North Terminus Terminal,North Terminus,LH-ZONE-008,metro_station
LH-LOC-0210,LH,Copper Ln & Sable St,Financial Row,LH-ZONE-005,bus_stop
LH-LOC-0050,LH,East Commons Station,East Commons,LH-ZONE-010,metro_station
LH-LOC-0042,LH,Harborfront Interchange,Harborfront,LH-ZONE-002,metro_station
LH-LOC-0338,LH,Prospect St & Foundry Ln,Old Mill District,LH-ZONE-003,bus_stop
LH-LOC-0059,LH,Market Quarter Interchange,Market Quarter,LH-ZONE-009,metro_station
LH-LOC-0005,LH,Financial Row Terminal,Financial Row,LH-ZONE-005,metro_station
LH-LOC-0108,LH,Wharton Rd & Foundry Ln,Old Mill District,LH-ZONE-003,bus_stop
LH-LOC-0237,LH,Concourse Ave & Grant Rd,Harborfront,LH-ZONE-002,bus_stop
LH-LOC-0297,LH,Foundry Ln & Beacon St,Harborfront,LH-ZONE-002,bus_stop
LH-LOC-0144,LH,Sable St & Concourse Ave,Market Quarter,LH-ZONE-009,bus_stop
LH-LOC-0127,LH,Montrose Ave & Turnpike Ave,Harborfront,LH-ZONE-002,bus_stop
LH-LOC-0208,LH,Hollow Ln & Montrose Ave,Old Mill District,LH-ZONE-003,bus_stop
LH-LOC-0223,LH,Vine Ave & Elm St,North Terminus,LH-ZONE-008,bus_stop
LH-LOC-0251,LH,Elm St & Concourse Ave,Cathedral Heights,LH-ZONE-006,bus_stop
LH-LOC-0245,LH,Hollow Ln & Grant Rd,East Commons,LH-ZONE-010,bus_stop
LH-LOC-0305,LH,Vine Ave & Turnpike Ave,East Commons,LH-ZONE-010,bus_stop
LH-LOC-0106,LH,Ledger Rd & Prospect St,Downtown Core,LH-ZONE-001,bus_stop
LH-LOC-0277,LH,Ferry St & Foundry Ln,Harborfront,LH-ZONE-002,bus_stop
LH-LOC-0014,LH,Uptown Crescent Terminal,Uptown Crescent,LH-ZONE-004,metro_station
LH-LOC-0028,LH,North Terminus Interchange,North Terminus,LH-ZONE-008,metro_station
LH-LOC-0326,LH,Beacon St & Delancy Ave,Downtown Core,LH-ZONE-001,bus_stop
LH-LOC-0149,LH,Concourse Ave & Sable St,Uptown Crescent,LH-ZONE-004,bus_stop
LH-LOC-0160,LH,Baldwin Ave & Foundry Ln,Financial Row,LH-ZONE-005,bus_stop
LH-LOC-0325,LH,Cedar Blvd & Foundry Ln,East Commons,LH-ZONE-010,bus_stop
LH-LOC-0322,LH,Baldwin Ave & Hollow Ln,Riverside Junction,LH-ZONE-007,bus_stop
LH-LOC-0231,LH,Ashton Blvd & Copper Ln,Cathedral Heights,LH-ZONE-006,bus_stop
LH-LOC-0236,LH,Ashton Blvd & Ferry St,Downtown Core,LH-ZONE-001,bus_stop
