schedule_id,route_id,corridor_id,direction,day_type,start_time,estimated_ridership
LH-SCH-000001,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,05:03,20
LH-SCH-000002,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,05:47,17
LH-SCH-000003,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,06:31,91
LH-SCH-000004,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,06:40,85
LH-SCH-000005,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,06:48,79
LH-SCH-000006,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,06:57,80
LH-SCH-000007,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:05,69
LH-SCH-000008,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:14,95
LH-SCH-000009,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:22,93
LH-SCH-000010,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:31,79
LH-SCH-000011,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:39,95
LH-SCH-000012,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:47,95
LH-SCH-000013,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,07:54,95
LH-SCH-000014,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:02,95
LH-SCH-000015,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:11,94
LH-SCH-000016,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:20,78
LH-SCH-000017,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:29,92
LH-SCH-000018,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:37,92
LH-SCH-000019,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:45,89
LH-SCH-000020,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,08:54,77
LH-SCH-000021,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:03,95
LH-SCH-000022,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:12,72
LH-SCH-000023,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:21,72
LH-SCH-000024,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:28,95
LH-SCH-000025,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:35,82
LH-SCH-000026,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:44,80
LH-SCH-000027,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,09:53,95
LH-SCH-000028,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,10:02,23
LH-SCH-000029,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,10:21,36
LH-SCH-000030,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,10:42,34
LH-SCH-000031,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,11:00,32
LH-SCH-000032,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,11:18,33
LH-SCH-000033,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,11:37,24
LH-SCH-000034,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,11:54,20
LH-SCH-000035,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,12:12,21
LH-SCH-000036,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,12:33,35
LH-SCH-000037,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,12:52,38
LH-SCH-000038,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,13:12,32
LH-SCH-000039,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,13:35,33
LH-SCH-000040,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,13:52,38
LH-SCH-000041,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,14:11,28
LH-SCH-000042,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,14:27,33
LH-SCH-000043,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,14:42,47
LH-SCH-000044,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,14:55,28
LH-SCH-000045,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,15:10,34
LH-SCH-000046,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,15:23,38
LH-SCH-000047,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,15:36,31
LH-SCH-000048,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,15:50,43
LH-SCH-000049,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,16:03,35
LH-SCH-000050,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,16:16,45
LH-SCH-000051,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,16:32,39
LH-SCH-000052,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,16:46,42
LH-SCH-000053,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,17:03,59
LH-SCH-000054,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,17:15,53
LH-SCH-000055,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,17:28,65
LH-SCH-000056,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,17:43,63
LH-SCH-000057,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,17:56,50
LH-SCH-000058,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,18:10,55
LH-SCH-000059,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,18:23,64
LH-SCH-000060,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,18:38,64
LH-SCH-000061,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,18:51,60
LH-SCH-000062,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,19:04,53
LH-SCH-000063,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,19:16,57
LH-SCH-000064,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,19:29,59
LH-SCH-000065,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,19:45,58
LH-SCH-000066,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,19:57,53
LH-SCH-000067,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,20:12,53
LH-SCH-000068,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,20:24,50
LH-SCH-000069,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,20:38,53
LH-SCH-000070,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,20:52,63
LH-SCH-000071,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,21:07,16
LH-SCH-000072,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,21:43,14
LH-SCH-000073,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,22:23,11
LH-SCH-000074,LH-RT-B001-OUT,LH-RT-B001,outbound,weekday,23:09,8
LH-SCH-000075,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,06:03,24
LH-SCH-000076,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,06:29,24
LH-SCH-000077,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,06:51,20
LH-SCH-000078,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,07:15,17
LH-SCH-000079,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,07:38,18
LH-SCH-000080,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,08:01,17
LH-SCH-000081,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,08:30,19
LH-SCH-000082,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,08:57,19
LH-SCH-000083,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,09:21,16
LH-SCH-000084,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,09:49,14
LH-SCH-000085,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,10:12,33
LH-SCH-000086,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,10:36,34
LH-SCH-000087,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,11:04,33
LH-SCH-000088,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,11:30,37
LH-SCH-000089,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,11:52,41
LH-SCH-000090,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,12:21,41
LH-SCH-000091,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,12:44,46
LH-SCH-000092,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,13:07,28
LH-SCH-000093,LH-RT-B001-OUT,LH-RT-B001,outbound,weekend,13:34,31
