screen_id,city_id,screen_type,location_id,vehicle_id,position,screen_size
LH-SCR-000001,LH,bus_stop,LH-LOC-0120,,top,M
LH-SCR-000002,LH,bus_stop,LH-LOC-0120,,left,S
LH-SCR-000003,LH,bus_stop,LH-LOC-0120,,right,S
LH-SCR-000004,LH,bus_stop,LH-LOC-0135,,top,S
LH-SCR-000005,LH,bus_stop,LH-LOC-0135,,left,S
LH-SCR-000006,LH,bus_stop,LH-LOC-0135,,right,S
LH-SCR-000007,LH,bus_stop,LH-LOC-0311,,top,L
LH-SCR-000008,LH,bus_stop,LH-LOC-0311,,left,S
LH-SCR-000009,LH,bus_stop,LH-LOC-0311,,right,S
LH-SCR-000010,LH,bus_stop,LH-LOC-0210,,top,L
LH-SCR-000011,LH,bus_stop,LH-LOC-0210,,left,S
LH-SCR-000012,LH,bus_stop,LH-LOC-0210,,right,S
LH-SCR-000013,LH,bus_stop,LH-LOC-0338,,top,M
LH-SCR-000014,LH,bus_stop,LH-LOC-0338,,left,S
LH-SCR-000015,LH,bus_stop,LH-LOC-0338,,right,S
LH-SCR-000016,LH,bus_stop,LH-LOC-0108,,top,M
LH-SCR-000017,LH,bus_stop,LH-LOC-0108,,left,S
LH-SCR-000018,LH,bus_stop,LH-LOC-0108,,right,S
LH-SCR-000019,LH,bus_stop,LH-LOC-0237,,top,S
LH-SCR-000020,LH,bus_stop,LH-LOC-0237,,left,S
LH-SCR-000021,LH,bus_stop,LH-LOC-0237,,right,S
LH-SCR-000022,LH,bus_stop,LH-LOC-0297,,top,S
LH-SCR-000023,LH,bus_stop,LH-LOC-0297,,left,S
LH-SCR-000024,LH,bus_stop,LH-LOC-0297,,right,S
LH-SCR-000025,LH,bus_stop,LH-LOC-0144,,top,S
LH-SCR-000026,LH,bus_stop,LH-LOC-0144,,left,S
LH-SCR-000027,LH,bus_stop,LH-LOC-0144,,right,S
LH-SCR-000028,LH,bus_stop,LH-LOC-0127,,top,M
LH-SCR-000029,LH,bus_stop,LH-LOC-0127,,left,S
LH-SCR-000030,LH,bus_stop,LH-LOC-0127,,right,S
LH-SCR-000031,LH,bus_stop,LH-LOC-0208,,top,S
LH-SCR-000032,LH,bus_stop,LH-LOC-0208,,left,S
LH-SCR-000033,LH,bus_stop,LH-LOC-0208,,right,S
LH-SCR-000034,LH,bus_stop,LH-LOC-0223,,top,L
LH-SCR-000035,LH,bus_stop,LH-LOC-0223,,left,S
LH-SCR-000036,LH,bus_stop,LH-LOC-0223,,right,S
LH-SCR-000037,LH,bus_stop,LH-LOC-0251,,top,S
LH-SCR-000038,LH,bus_stop,LH-LOC-0251,,left,S
LH-SCR-000039,LH,bus_stop,LH-LOC-0251,,right,S
LH-SCR-000040,LH,bus_stop,LH-LOC-0245,,top,S
LH-SCR-000041,LH,bus_stop,LH-LOC-0245,,left,S
LH-SCR-000042,LH,bus_stop,LH-LOC-0245,,right,S
LH-SCR-000043,LH,bus_stop,LH-LOC-0305,,top,S
LH-SCR-000044,LH,bus_stop,LH-LOC-0305,,left,S
LH-SCR-000045,LH,bus_stop,LH-LOC-0305,,right,S
LH-SCR-000046,LH,bus_stop,LH-LOC-0106,,top,M
LH-SCR-000047,LH,bus_stop,LH-LOC-0106,,left,S
LH-SCR-000048,LH,bus_stop,LH-LOC-0106,,right,S
LH-SCR-000049,LH,bus_stop,LH-LOC-0277,,top,M
LH-SCR-000050,LH,bus_stop,LH-LOC-0277,,left,S
LH-SCR-000051,LH,bus_stop,LH-LOC-0277,,right,S
