vehicle_id,city_id,vehicle_type,corridor_id,screen_count
LH-VEH-00001,LH,bus,LH-RT-B001,3
LH-VEH-00002,LH,bus,LH-RT-B001,3
LH-VEH-00003,LH,bus,LH-RT-B001,3
LH-VEH-00004,LH,bus,LH-RT-B001,3
LH-VEH-00005,LH,bus,LH-RT-B001,3
LH-VEH-00006,LH,bus,LH-RT-B001,3
LH-VEH-00007,LH,bus,LH-RT-B001,3
LH-VEH-00008,LH,bus,LH-RT-B001,3
LH-VEH-00009,LH,bus,LH-RT-B001,3
LH-VEH-00010,LH,bus,LH-RT-B001,3
LH-VEH-00011,LH,bus,LH-RT-B001,3
LH-VEH-00012,LH,bus,LH-RT-B002,3
LH-VEH-00013,LH,bus,LH-RT-B002,3
LH-VEH-00014,LH,bus,LH-RT-B002,3
LH-VEH-00015,LH,bus,LH-RT-B002,3
LH-VEH-00016,LH,bus,LH-RT-B002,3
LH-VEH-00017,LH,bus,LH-RT-B002,3
LH-VEH-00018,LH,bus,LH-RT-B002,3
LH-VEH-00019,LH,bus,LH-RT-B002,3
LH-VEH-00020,LH,bus,LH-RT-B002,3
LH-VEH-00021,LH,bus,LH-RT-B002,3
LH-VEH-00022,LH,bus,LH-RT-B002,3
LH-VEH-00023,LH,bus,LH-RT-B003,3
LH-VEH-00024,LH,bus,LH-RT-B003,3
LH-VEH-00025,LH,bus,LH-RT-B003,3
LH-VEH-00026,LH,bus,LH-RT-B003,3
LH-VEH-00027,LH,bus,LH-RT-B004,3
LH-VEH-00028,LH,bus,LH-RT-B004,3
LH-VEH-00029,LH,bus,LH-RT-B004,3
LH-VEH-00030,LH,bus,LH-RT-B004,3
LH-VEH-00031,LH,bus,LH-RT-B004,3
LH-VEH-00032,LH,bus,LH-RT-B004,3
LH-VEH-00033,LH,bus,LH-RT-B005,3
LH-VEH-00034,LH,bus,LH-RT-B005,3
LH-VEH-00035,LH,bus,LH-RT-B005,3
LH-VEH-00036,LH,bus,LH-RT-B005,3
LH-VEH-00037,LH,bus,LH-RT-B005,3
LH-VEH-00038,LH,bus,LH-RT-B005,3
LH-VEH-00039,LH,bus,LH-RT-B005,3
LH-VEH-00040,LH,bus,LH-RT-B006,3
LH-VEH-00041,LH,bus,LH-RT-B006,3
LH-VEH-00042,LH,bus,LH-RT-B006,3
LH-VEH-00043,LH,bus,LH-RT-B006,3
LH-VEH-00044,LH,bus,LH-RT-B006,3
LH-VEH-00045,LH,bus,LH-RT-B007,3
LH-VEH-00046,LH,bus,LH-RT-B007,3
LH-VEH-00047,LH,bus,LH-RT-B007,3
LH-VEH-00048,LH,bus,LH-RT-B007,3
LH-VEH-00049,LH,bus,LH-RT-B007,3
LH-VEH-00050,LH,bus,LH-RT-B007,3
LH-VEH-00051,LH,bus,LH-RT-B007,3
LH-VEH-00052,LH,bus,LH-RT-B007,3
LH-VEH-00053,LH,bus,LH-RT-B007,3
LH-VEH-00054,LH,bus,LH-RT-B007,3
LH-VEH-00055,LH,bus,LH-RT-B008,3
LH-VEH-00056,LH,bus,LH-RT-B008,3
LH-VEH-00057,LH,bus,LH-RT-B008,3
LH-VEH-00058,LH,bus,LH-RT-B008,3
LH-VEH-00059,LH,bus,LH-RT-B008,3
LH-VEH-00060,LH,bus,LH-RT-B008,3
LH-VEH-00061,LH,bus,LH-RT-B008,3
LH-VEH-00062,LH,bus,LH-RT-B008,3
LH-VEH-00063,LH,bus,LH-RT-B008,3
LH-VEH-00064,LH,bus,LH-RT-B008,3
LH-VEH-00065,LH,bus,LH-RT-B009,3
LH-VEH-00066,LH,bus,LH-RT-B009,3
LH-VEH-00067,LH,bus,LH-RT-B009,3
LH-VEH-00068,LH,bus,LH-RT-B009,3
LH-VEH-00069,LH,bus,LH-RT-B009,3
LH-VEH-00070,LH,bus,LH-RT-B009,3
LH-VEH-00071,LH,bus,LH-RT-B009,3
LH-VEH-00072,LH,bus,LH-RT-B009,3
LH-VEH-00073,LH,bus,LH-RT-B010,3
