zone_id,city_id,zone_name,resident_population,population_density_per_sqkm,median_age,pct_age_under_18,pct_age_18_34,pct_age_35_54,pct_age_55_plus,median_household_income,income_index,pct_bachelor_or_higher,dominant_occupation,daytime_population_multiplier
LH-ZONE-001,LH,Downtown Core,107560,14480,32.6,6.7,39.0,38.5,15.8,134615,141.7,64.9,white_collar,3.39
LH-ZONE-002,LH,Harborfront,344279,7107,44.7,13.9,26.2,30.9,29.0,99465,104.7,43.8,mixed,1.52
LH-ZONE-003,LH,Old Mill District,305120,6637,43.3,22.9,22.6,30.4,24.1,80560,84.8,22.3,blue_collar,1.4
LH-ZONE-004,LH,Uptown Crescent,416260,14843,28.1,9.2,65.8,19.1,5.9,82365,86.7,45.3,student,1.62
LH-ZONE-005,LH,Financial Row,202967,14946,34.9,5.7,37.0,38.5,18.8,151810,159.8,73.2,white_collar,3.21
LH-ZONE-006,LH,Cathedral Heights,383491,4511,43.8,21.4,10.0,34.1,34.5,141930,149.4,52.5,white_collar,0.64
LH-ZONE-007,LH,Riverside Junction,384546,9570,34.3,13.3,38.4,31.3,17.0,90725,95.5,47.8,mixed,1.19
LH-ZONE-008,LH,North Terminus,381986,2454,47.1,23.5,13.7,34.3,28.5,84075,88.5,20.6,mixed,0.79
LH-ZONE-009,LH,Market Quarter,251235,7101,34.7,19.6,27.8,35.0,17.6,89300,94.0,30.2,retail_service,1.61
LH-ZONE-010,LH,East Commons,422555,5226,40.8,19.6,20.7,36.8,22.9,93005,97.9,26.2,mixed,0.79
ACS-ZONE-001,ACS,Maple Grove,39792,6526,32.7,5.8,38.2,37.0,19.0,87835,159.7,64.3,white_collar,3.2
ACS-ZONE-002,ACS,Windmere Park,76170,2349,43.1,21.5,21.9,33.8,22.8,41800,76.0,18.2,blue_collar,1.22
ACS-ZONE-003,ACS,Sunridge Acres,99375,3255,42.3,19.3,14.1,32.4,34.2,82995,150.9,50.4,white_collar,0.58
ACS-ZONE-004,ACS,Fallowfield,90170,8901,28.0,5.3,65.6,19.7,9.4,40425,73.5,44.8,student,1.38
ACS-ZONE-005,ACS,Cobblestone Village,65766,5410,39.5,16.7,30.3,34.1,18.9,51425,93.5,37.9,retail_service,1.67
ACS-ZONE-006,ACS,Greenhollow,78422,4003,47.1,13.2,21.7,31.3,33.8,60445,109.9,40.7,mixed,1.42
ACS-ZONE-007,ACS,Pine Hatch,88389,7306,34.5,15.6,39.0,32.3,13.1,60500,110.0,42.0,mixed,1.15
ACS-ZONE-008,ACS,Old Orchard,115512,1277,48.7,24.7,16.3,35.2,23.8,51755,94.1,31.2,mixed,0.62
ACS-ZONE-009,ACS,Southgate Commons,84614,2651,45.4,19.2,21.9,37.3,21.6,50325,91.5,29.0,mixed,0.73
ACS-ZONE-010,ACS,Brookview,111791,3162,37.1,29.9,15.7,37.5,16.9,59125,107.5,35.1,mixed,0.61
DAT-ZONE-001,DAT,Central Yard,79120,11623,32.7,6.7,36.9,38.9,17.5,108010,154.3,58.7,white_collar,3.19
DAT-ZONE-002,DAT,Ashford Row,142151,4449,43.6,19.5,19.5,36.1,24.9,65660,93.8,29.9,mixed,0.76
DAT-ZONE-003,DAT,Union Flats,187988,9299,38.8,15.1,37.9,30.1,16.9,78540,112.2,43.6,mixed,1.01
DAT-ZONE-004,DAT,Bellwood,142504,8731,23.9,8.9,64.8,17.2,9.1,54880,78.4,47.1,student,1.74
DAT-ZONE-005,DAT,Harrow Point,160218,4129,43.3,20.6,13.8,32.0,33.6,120190,171.7,64.3,white_collar,0.64
DAT-ZONE-006,DAT,Milltown,158846,4269,41.7,24.9,20.8,30.9,23.4,58660,83.8,24.2,blue_collar,1.17
DAT-ZONE-007,DAT,Kestrel Heights,179159,4054,40.0,28.2,16.6,36.4,18.8,70490,100.7,41.0,mixed,0.72
DAT-ZONE-008,DAT,Lakeside Loop,152749,4380,40.7,17.0,21.7,31.7,29.6,79730,113.9,38.9,mixed,1.56
DAT-ZONE-009,DAT,Founders Square,101861,5825,40.3,18.2,29.3,35.0,17.5,59990,85.7,31.3,retail_service,1.41
DAT-ZONE-010,DAT,Northbank,145406,1517,40.8,23.8,16.3,35.3,24.6,53620,76.6,20.5,mixed,0.69
